,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
3515,,fertile,Bupropion,,as:||creatinine clearance,serum β-chorionic gonadotropin test),,,,"temporomandibular joint, orthopedic treatment",at the time of enrollment.||,>1g/dl below normal,,,,,,
3516,,recurrence in ≤12 months of,PCT,,cervical disc,extra leak,,,,tumor tissue block,at least one symptom,5.2 mmol/L,,,,,,
3517,,cardiac event,immunosuppressive therapies).|3,,UIHC Movement Disorders clinic|Owns,local testing.|Patient,,,,first-line platinum-,for 24 months,"<1,000 neutrophils / mL",,,,,,
3518,,progressive jaundice,pentoxifylline,,NM,first TACE therapy,,,,Non-Alcoholic Steatohepatitis,include 9 months,younger than 16 years,,,,,,
3519,,neurological diseases|Presence of,GBC,,ejection fraction;|Storage diseases,stature,,,,3rd degree AVB,at the next clinic visit,above baseline pre-PCI,,,,,,
3520,,hip fracture,gemcitabine,,GABAbr-antibodies,6 months of Screening.|Any,,,,Italy,within 2 months prior to check,LVEF<50%,,,,,,
3521,,aneurysm,amide type local,,testing laboratory.|ECOG performance status,viral suppressive therapy,,,,suitable for existing,within the past 2 years||Instability,< 72 h,,,,,,
3522,,complain of neck pain|Decrease range,laxative,,1236G,complete exercise intervention;|Illiteracy (disability to read,,,,Non-GC immunosuppressive medications.|Allowable IS,within 4 weeks before the first study administration.|Patients,between initial breast conserving therapy (surgery,,,,,,
3523,,hypercoagulable state,targeting agents,,ECOG score for performance status,endoscopic submucosal dissection,,,,study.|Intra-articular cortisone injections,within the past 90 days prior to screening,< 1.5×ULN；|No,,,,,,
3524,,non-insulin diabetes medications,Leukemic phase,,HBV DNA copy,vitiligo,,,,postoperative intraocular hypertension,in the past 30 days|planning to move from the Kansas City area,> 10 mm;|30,,,,,,
3525,,recreational drugs|Medical treatment,soft tissue lesion,,VLU,Structured Clinical Interview for DSM-5 (SCID-5);|Diagnosis of treatment-resistant depression,,,,Non-small cell lung cancer,within 24,>16 mg/dL|Patients,,,,,,
3526,,detectable HIV RNA,Fridericia formula,,constraints herein,invasive examination,,,,and|Clinical Frailty Scale score,during the study period.|Neurologic,greater than 105 mmHg.||Change,,,,,,
3527,,itch,TNF-α inhibitors,,1;|Expected survival,bile duct cancer)|ECOG Performance score,,,,Insulin meal dosing,within 30 days prior to insertion of the Flume catheter,≥ 30mL/min,,,,,,
3528,,normal uterus,aspirin.|Stroke,,forced vital capacity,radiofrequency cautery,,,,effective dose,during the term of the study||,under 16 years,,,,,,
3529,,anorectal symptoms,TIPS implantation,,Screening.|Body mass index,transvaginal ultrasound examination,,,,articles L. 1121-5 to L. 1121-8 and L. 1122-12 of the public health code,within 14 days of ANC,18-75|Smoking,,,,,,
3530,,visual symptoms,Teriparatide,,Body mass index (,Standard multivitamin,,,,3D ultrasound||,within 3 months before informed consent signing,<18|presence of autonomic nervous system diseases,,,,,,
3531,,bowel dysfunction,medication used in the procedure,,C-reactive protein,Jugular access of the Steerable Catheter with,,,,alteration)||CD22-positive,at the time of screening).|Chronic alcoholism,>= 1.5x10^9/L,,,,,,
3532,,gingivitis/periodontitis,faecal calprotectin,,American Society of Anesthesiologists physical status,pyloroplasty,,,,borderline,throughout this period,equal to 6,,,,,,
3533,,prurigo,postmenopause,,random plasma glucose,RBC],,,,IPSS-R / ELN classification,within Canada|Aged,less than 5 clearance half-life,,,,,,
3534,,psychic functions,capmatinib,,Parkinson plus syndromes,septorhinoplasty,,,,lower jaw],at least one of the following three impingement tests,< 3.0X ULN|Bilirubin ≤1.5 x ULN,,,,,,
3535,,adverse effects,inhaled steroids,,HIV antibody test positive,neuropsychological testing indicates,,,,primary caretaker,during the study||Smoking||Current,> 1.3,,,,,,
3536,,physiological abnormalities,saliva substitute treatment,,liver metastases.|Creatinine,control pain,,,,etc.|Alcohol consumption,at the time of CAG,>2.0 times ULN|GDS score of ≥5,,,,,,
3537,,severe allergy;|Known hypersensitivity,surgery,,NCI-CTCAE 5.0,gastrointestinal symptomsandradiological imaging (,,,,IMP.||Highly effective contraception,for the control group|Individuals,18-24|patients,,,,,,
3538,,functional diseases,bendamustine,,Nested Sub-Study:||Eligible to receive,disease control,,,,non smokers|smokers||,within 5 years prior to signing the informed consent form.|Known,no more than one,,,,,,
3539,,aphakia,IFX was judged by medical history|The disease,,expected duration,abrasion,,,,Italian population).||,28 days prior to Vaccination,≥18 and ≤ 34.0 kg/m2,,,,,,
3540,,atrial fibrillation|Cardio myopathy,leflunomide,,left/right,standard therapy regimen,,,,primary oral pathology|Bad oral hygiene|High,after last dose of study drug,functional classification.|History of a current diagnosis,,,,,,
3541,,severity of depression.|Failure,anti-lipid,,months|Current suicidal ideation,pharmacologic classes:||Competitive antagonists,,,,malformative,at time of registration|WHO performance status,≥ 40%||,,,,,,
3542,,events not,withn,,Albumin,bone marrow (BM),,,,"African American""|Uncontrolled",during study treatment|History of severe,> 4|Aged over 18 years,,,,,,
3543,,disease.|Participant,radionuclide scan,,old;|ECOG score,abdominal cramping,,,,low-active,prior to study drug,>460 msec,,,,,,
3544,,rectal stenosis,topical lidocaine,,serum test,surgery of the gastrointestinal tract),,,,highly effective,in the previous 6 months,18-years,,,,,,
3545,,parenchymal lesions,Prevacid,,Methodology||,HCV)|Allogenic organ transplantation,,,,predominantly high frequency hearing involvement,at least one offspring after spontaneous pregnancy||,> 10mm||Lesions,,,,,,
3546,,"neurological, developmental",syncope|Patients,,NOVO hospital - Pontoise,liver transplant,,,,radical,medical history d,>= 3.5)||Metastasis confined to the,,,,,,
3547,,HIV infection);|Patients,INR,,thickness for archival storage;|6,secondary procedure,,,,non-migraine,last 6 months,between 3 and 22 µg/dL,,,,,,
3548,,irreversible damage,local therapies||,,NP,Gastroscopy,,,,mouth openings,within 28 days of randomization.|Known history of,1 or more first degree relatives,,,,,,
3549,,illegal substance abuse,non-vaccine,,COVID-19-mRNA vaccinations,lipid-lowering drugs,,,,stabilized|Uncontrolled,in the previous year.|Subject currently involved,greater than 1.5-fold the ULN,,,,,,
3550,,non-removable objects,Palivizumab,,18F-FES PET/CT,neuroendocrine differentiation of,,,,non-MRI-compatible,at least 2 months before enrollment|presence,≤110µmol/L，blood,,,,,,
3551,,alcohol addiction,selected drugs,,postural instability,stent delivery and deployment judged by investigators,,,,specifically,at the time of consent|Karnofsky performance status,"≥ 18 years old|Patient should understand, sign",,,,,,
3552,,fulminant disease,cytotoxic chemotherapy,,blood cholesterol,prophylactic treatment,,,,Hormone Replacement,in the lung parenchyma that the clinician feels cannot be accessed successfully using the,greater than or equal to 3,,,,,,
3553,,judged by the researchers,steroidal drugs,,Absolute Lymphocyte Count,ketogenic diet,,,,HbA1C≧6.5%,within 2 weeks prior to the first dose of study treatment;|Participants had been,"≥ 18 years,|Hba1c 7-11%,|Renal function",,,,,,
3554,,malignant,ultrasound contrast,,left breast cancer;|Planned whole-breast ± supraclavicular region,detoxication therapy,,,,moderately hypofractionated,conditions:||Less than 4 weeks,from 25-34.90 (Kg/m²,,,,,,
3555,,diaphragmatic hernia)|Nasal bleeding,DPP-4 inhibitors,,hepatitis B core antibody-positive,frontline therapy,,,,EF≥50% (,in the last year|could understand test,>180,,,,,,
3556,,genetic abnormalities,hemorrhagic cystitis|Recipients,,SUV)|Absolute neutrophil count (,T-DM1.|Symptomatic central nervous system (CNS) metastases,,,,hormone replacement therapy,on the patient,Stage 2||Hospitalization,,,,,,
3557,,ulcerative disease,MAO,,NHS specialist learning disability,screening|Intensive AML therapy,,,,highly effective (,history group)|The participant,≤1.5 mg/dL,,,,,,
3558,,hepatitis B:||Aged,enzalutamide,,CD4+ T cell function,cytotoxic chemotherapy regimen,,,,esophageal-gastric ulcer,during the last month.|Participants,≥50% diameter,,,,,,
3559,,fatty liver|anorexia,stiripentol,,Response Evaluation Criteria in Solid Tumors (RECIST) v1.1|Life expectancy,insulin|peripheral edema|recent hospitalization|known allergy to any study drug|polyuria,,,,Very High,within 2 years prior to Day 1 of Cycle 1|Primary central nervous system,> 35 kg/m2)|Hemoglobinopathies|Arteriopathies,,,,,,
3560,,myofascial pain,live attenuated vaccines,,blood loss,surgery.||Previous surgery,,,,stopping,past 30 days or less than 5 half lives of the investigational product,at least 12 weeks when signing the ICF.|Patients,,,,,,
3561,,anorectal obstruction,anatomical sites;|Major surgical treatment,,stage IVa,IA thrombectomy)|Stable vital signs,,,,controlled by diet alone,in dose,36.4 °C and above,,,,,,
3562,,non-dominant,hypertension medications,,liver function tests,CCC)|≥5 current medications,,,,CSF evaluation and contrast-enhanced,in the last year|cognitive impairment limiting,8 to 16 year.|Male,,,,,,
3563,,mixed type,trial-related intervention.|High,,Geriatric Depression Scale Short Form (GDS_SF).||5. Accept participation in the study,prolonged knee flexion.||,,,,≥210 g alcohol/week,within the last 6 months.|Congestive heart failure,<30 ml/min./1.73,,,,,,
3564,,coronavirus disease,acting beta2 agonist (LABA),,contraindicate bronchoscopy FEV1,interventional clinical studies.||,,,,consumption of citrus fruits,one month prior to surgery,≥ 35g/L;|Coagulation function indicators,,,,,,
3565,,type 1 myocardial infarction,antidiabetic medication,,HBV DNA levels,exercise,,,,lactic acid,more than twice weekly|Consumption of,≥ 30 kg/m2|Patient,,,,,,
3566,,penile curvature||,components of the studied therapeutic formulation,,WINGS-IP1 Smartphone Application V1.0 can be installed (required operating systems,control rings,,,,selected,in the past 6 months prior to study enrollment.|Patients unable to take enteral medications,≤ 2|Hepatic function,,,,,,
3567,,situ|Superficial bladder cancer,anabolic steroids,,level of care,abdominal imaging,,,,interfere with cooperation with the requirements of the trial|Receipt of any live vaccine,during the last 6 months,<200/mm3.||History,,,,,,
3568,,abdominal malignancies,Relatlimab,,"points,|Having given birth",e-mail access,,,,highly permeable,within 2 weeks of start of study intervention,≤ 4 cm,,,,,,
3569,,upper back,antihypertensive drugs remained unchanged,,SMZL,computerized tomography.|At least one,,,,High Grade,within 3 weeks|Radical Surgery,dose 50 mg,,,,,,
3570,,between diagnosis,"passed,|20-30 minutes",,expected length,urine drug screen|Positive urine alcohol test|Any,,,,PD-L1 inhibitor.|Has any history,at least 3 out of 7 nights in the week prior to Baseline,< 5mm;|Inability to walk;|Allergy,,,,,,
3571,,native aorta,aminopenicillins,,hindsight,graft-versus-host disease;|Use,,,,any related,within the past 30 days of screening,greater than 40%,,,,,,
3572,,gastritis|Pregnancy,potassium supplements,,hemoglobin (Hb)≤60g/L|History of,bilateral BWR,,,,objective fever,within 28 days of study treatment initiation,shorter than one,,,,,,
3573,,intracerebral lesions,heparin compounds,,Sufficient organ function,barrier contraception,,,,incurable,during the study period and within 6 months of stopping treatment,20-65yrs,,,,,,
3574,,base of tongue,old|Willingness,,Smoking history,restrictive diet,,,,salvage chemo-immunotherapies;|No measurable,after previous vaccination.||Participants,> 25 dB HL,,,,,,
3575,,"valvular disease,|anemia",Anti-psychotics,,Male|Age,standard peritoneal dialysis,,,,lasting at least 10 minutes.|Ability to understand and willingness to sign a written informed consent document.||,within 6 weeks of screening,less than or equal to 1.5mg/dL|Alanine,,,,,,
3576,,heart rhythm,anti-IL-17 antibody,,Ph-Impedencemetry,standard regimen,,,,Co-incidental shunt,within 2 years after their cell reinfusion;|(7,MRI.|The,,,,,,
3577,,human immunodeficiency virus [HIV],immune-mediated diseases,,total bilirubin (TBIL)≤1.5×upper limit of normal (UNL),bilateral neck,,,,interferes with cognitive testing|Vision impairment,within 24 months before randomization,<20 min/day,,,,,,
3578,,squamous cell carcinoma lesions,monoamine oxidase inhibitors,,DSM-IV and NINCDS-ADRDA criteria.|3,adrenal cortical hormone replacement,,,,self-identified LGBTQ+|Any alcohol,within 2 weeks prior to inclusion,<12.0 g/dL,,,,,,
3579,,Gallbladder carcinoma,African Americans||Inclusion criteria,,Hanifin and Rajka (1980),esophageal cryotherapy,,,,Stage 2+ AKI,within 30 days prior to screening visit,> 2.5 8,,,,,,
3580,,seizure,drugs or foods,,antinuclear antibodies,health care,,,,post-traumatic stress disorder,preceding 24 consecutive,≥27·0 kg/m2,,,,,,
3581,,incompatible with electroporation,L-dopa-based drug intake parameters,,blood pressure medication,C-SSRS questions,,,,Interdisciplinary Simulation,since enrolling in the double-blinded treatment period,> 1000 copies/mL,,,,,,
3582,,neovascularization|Congenital eye abnormality|Uncontrolled glaucoma|Pseudoexfoliation syndrome|Amblyopia|Uveitis|AMD,periocular corticosteroids,,grades of gliomas,low dose chemotherapy,,,,low-income neighborhood,for at least 4 weeks prior to taking the cocktail|further inclusion criteria apply||Healthy subjects and F4,≤ 1.5 times the upper limit of normal.||,,,,,,
3583,,territorial stroke,Lugano,,alanine transaminase [ALT],chest radiation,,,,non-concomitant,for 3 months after final study drug administration,score of > 2 standard deviations below the mean,,,,,,
3584,,autoimmune disease;|Severe infection,components of the test dressings|>72 hours,,pyrexia,IDH mutation are excluded|Patients,,,,Grade 3B,while taking the IP,≤ 50%,,,,,,
3585,,riteria:||Age,thin,,head circumference larger than 60 centimeters,deep anesthesia,,,,biphosphonates|Local,at baseline < 6.2;|Pregnancy|Subjects,≥41 contiguous,,,,,,
3586,,hyperosmolarity,ARDS,,waist,gastrointestinal emptying,,,,gender-based,14 days before dosing until after the Follow-up,at least 3 months;|7)The,,,,,,
3587,,glucose metabolism,medications that could interfere with orthodontic tooth movement.|History of trauma,,Energys|No,local testing on,,,,definitively treated,within 4 weeks before screening.|Within six months before screening,at least 12 weeks.||6,,,,,,
3588,,medical illness.|Active infection,immunosuppressive or,,hemoglobin level (HGB),emergency visits,,,,study.|Co-infection,within 24 hours;|The,40% or above,,,,,,
